DK,4,I,109,2018,1,I,X,PED,4015,2018.01.19,2018.01.19,08:32,13:30,65,88,DIAZ ORD,100,D-228,D-145,DISTRIBUCION,RED AEREA,N,26224,298,0.049291,533754,0.049131248,0.323,S,R,0,DIAZ ORD,QQ603,N,-1,N,-1,K0403188323,19
DK,4,I,118,2018,1,G,G,MAA,4040,2018.01.19,2018.01.19,13:00,16:45,90,80,F0456 L-MACT,0,D-228,D-145,DISTRIBUCION,RED AEREA,N,18000,225,0.033833,533754,0.033723401,0.338,S,R,0,F0456 L-MACT,K853R,N,-1,N,-1,K0403193772,20
DK,4,I,106,2018,1,F,X,RDB,4035,2018.01.20,2018.01.20,08:29,13:36,27,40,RAMAL PACU 1,100,D-243,D-133,DISTRIBUCION,RED AEREA,N,12280,307,0.023082,533754,0.023006853,0.138,S,R,0,RAMAL PACU 1,9M933,N,-1,N,-1,K0403188323,21
DK,4,I,117,2018,1,G,G,TGU,4020,2018.01.22,2018.01.22,14:29,17:42,72,132,F0065-SUBMAZ,0,D-228,D-133,DISTRIBUCION,RED AEREA,N,25476,193,0.047885,533754,0.047729853,0.232,S,R,0,F0065-SUBMAZ,K853R,N,-1,N,-1,K0403194507,22
DK,4,I,122,2018,1,G,G,TGU,4020,2018.01.22,2018.01.22,08:00,10:15,46,52,F0025-CHAPUL,0,D-228,D-145,DISTRIBUCION,RED AEREA,N,7020,135,0.013195,533754,0.013152126,0.103,S,R,0,F0025-CHAPUL,9B51C,N,-1,N,-1,K0403194170,23
DK,4,I,116,2018,1,I,X,MPE,4025,2018.01.22,2018.01.22,08:48,16:10,22,57,ESPERANZA DE,100,D-228,D-145,DISTRIBUCION,RED AEREA,N,25194,442,0.047355,533754,0.04720152,0.162,S,R,0,ESPERANZA DE,9M96L,N,-1,N,-1,K0403194191,24
DK,4,I,138,2018,1,I,X,CIT,4010,2018.01.23,2018.01.23,08:44,13:43,6,12,RAM GUACAMAY,100,D-228,D-125E,DISTRIBUCION,RED AEREA,N,3588,299,0.006744,533754,0.006722198,0.03,S,R,0,RAM GUACAMAY,9M9C4,N,-1,N,-1,K0403194864,25
DK,4,I,141,2018,1,G,G,TXN,4050,2018.01.24,2018.01.24,09:13,13:14,110,160,F0676-5A ORI,0,D-228,D-145,DISTRIBUCION,RED AEREA,N,38560,241,0.072478,533754,0.072243018,0.442,S,R,0,F0676-5A ORI,9B51C,N,-1,N,-1,K0403195880,26
DK,4,I,142,2018,1,G,G,TGU,4020,2018.01.24,2018.01.24,05:07,13:45,26,50,F0044-P.A.N3,0,D-228,D-125E,DISTRIBUCION,RED AEREA,N,25900,518,0.048682,533754,0.048524227,0.225,S,R,0,F0044-P.A.N3,9B51C,N,-1,N,-1,K0403195388,27
DK,4,W,1,2018,1,W,X,ANG,73730,2018.01.08,2018.01.08,06:23,06:23,0,0,S,100,,W-A62,DISTRIBUCION,LINEAS DE SUB,n,0,0,0,533754,0,0,N,T,0,0,9B56D,N,-1,S,-1,K0403188323,28
DK,4,I,216,2018,2,F,X,JUY,4010,2018.02.01,2018.02.02,20:47,12:35,23,34,OBREGON,100,D-243,D-133,DISTRIBUCION,RED AEREA,N,32232,948,0.060534,533754,0.060387369,0.363,S,R,0,OBREGON,9MNYH,N,-1,N,-1,K0403188323,29
